pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
unc_pool_4,5,2023 06 07,na_na_na_na,0_0_na,495,13 00 00,14 00 00,2,sacarosa,agua,1,1,6080,41,0,0,109,41,3,0
unc_pool_4,5,2023 06 07,na_na_na_na,0_0_na,496,13 00 00,14 00 00,3,sacarosa,agua,1,1,4667,85,0,0,102,6,3,0
unc_pool_4,5,2023 06 07,na_na_na_na,0_0_na,497,13 00 00,14 00 00,4,sacarosa,agua,1,1,3093,25,0,0,79,4,2,0
unc_pool_4,5,2023 06 07,na_na_na_na,0_0_na,498,14 26 00,15 26 00,1,sacarosa,agua,1,1,2713,19,0,0,58,3,1,0
unc_pool_4,5,2023 06 07,na_na_na_na,0_0_na,499,14 26 00,15 26 00,2,sacarosa,agua,1,1,4441,13,0,0,96,2,3,0
unc_pool_4,5,2023 06 07,na_na_na_na,0_0_na,500,14 26 00,15 26 00,3,sacarosa,agua,1,1,3343,38,0,0,92,4,2,0
unc_pool_4,5,2023 06 07,na_na_na_na,0_0_na,501,14 26 00,15 26 00,4,sacarosa,agua,1,1,3207,43,0,0,103,7,2.5,0
unc_pool_4,6,2023 06 08,na_na_na_na,0_0_na,494,13 00 00,14 01 00,1,agua,sacarosa,1,1,578,4059,0,0,19,102,0,2
unc_pool_4,6,2023 06 08,na_na_na_na,0_0_na,495,13 00 00,14 01 00,2,agua,sacarosa,1,1,71,5025,0,0,7,122,0,3
unc_pool_4,6,2023 06 08,na_na_na_na,0_0_na,496,13 00 00,14 02 00,3,agua,sacarosa,1,1,73,4422,0,0,7,114,0,3
unc_pool_4,6,2023 06 08,na_na_na_na,0_0_na,497,13 00 00,14 02 00,4,agua,sacarosa,1,1,75,5311,0,0,8,114,0,3
unc_pool_4,6,2023 06 08,na_na_na_na,0_0_na,498,14 29 00,15 30 00,1,agua,sacarosa,1,1,16,1260,0,0,3,36,1,1.5
unc_pool_4,6,2023 06 08,na_na_na_na,0_0_na,499,14 29 00,15 30 00,2,agua,sacarosa,1,1,40,3776,0,0,7,98,1,3
unc_pool_4,6,2023 06 08,na_na_na_na,0_0_na,500,14 30 00,15 30 00,3,agua,sacarosa,1,1,16,4270,0,0,3,88,0.5,2.5
unc_pool_4,6,2023 06 08,na_na_na_na,0_0_na,501,14 30 00,15 30 00,4,agua,sacarosa,1,1,61,2768,0,0,7,89,0.5,2.5
unc_pool_4,7,2023 06 09,na_na_na_na,0_0_na,494,13 04 00,14 04 00,1,sacarosa,agua,5,5,4441,120,1,1,104,9,2.5,0
unc_pool_4,7,2023 06 09,na_na_na_na,0_0_na,495,13 04 00,14 04 00,2,sacarosa,agua,7,5,5875,35,1,1,108,6,3,0
unc_pool_4,7,2023 06 09,na_na_na_na,0_0_na,496,13 05 00,14 04 00,3,sacarosa,agua,6,5,3705,71,1,1,103,6,3,0
unc_pool_4,7,2023 06 09,na_na_na_na,0_0_na,497,13 05 00,14 04 00,4,sacarosa,agua,5,5,4576,21,1,1,96,4,2,0
unc_pool_4,7,2023 06 09,na_na_na_na,0_0_na,498,14 30 00,15 30 00,1,sacarosa,agua,1,1,1949,27,0,0,63,3,2.5,0
unc_pool_4,7,2023 06 09,na_na_na_na,0_0_na,499,14 30 00,15 30 00,2,sacarosa,agua,1,1,3193,94,0,0,11,2,3,0
unc_pool_4,7,2023 06 09,na_na_na_na,0_0_na,500,14 31 00,15 30 00,3,sacarosa,agua,1,1,4859,20,0,0,102,1,3,0
unc_pool_4,7,2023 06 09,na_na_na_na,0_0_na,501,14 31 00,15 30 00,4,sacarosa,agua,1,3,3053,24,0,0,85,4,2,0
unc_pool_4,8,2023 06 10,na_na_na_na,0_0_na,494,13 01 00,14 02 00,1,agua,sacarosa_crv,1,5,659,3144,0,1,24,59,1,2
unc_pool_4,8,2023 06 10,na_na_na_na,0_0_na,495,13 01 00,14 02 00,2,agua,sacarosa_crv,1,5,26,3257,0,1,3,62,0,2
unc_pool_4,8,2023 06 10,na_na_na_na,0_0_na,496,13 02 00,14 02 00,3,agua,sacarosa_crv,1,5,31,3962,0,1,3,78,0,3
unc_pool_4,8,2023 06 10,na_na_na_na,0_0_na,497,13 02 00,14 02 00,4,agua,sacarosa_crv,1,5,17,4407,0,1,3,70,0,2
unc_pool_4,8,2023 06 10,na_na_na_na,0_0_na,498,14 33 00,15 33 00,1,agua,sacarosa_crv,1,5,52,1516,0,1,4,30,0,1
