N_unmapped	716375	716375	716375
N_multimapping	5844268	5844268	5844268
N_noFeature	5191001	43068899	5617659
N_ambiguous	1746846	55282	619797
ENSMUSG00000102693.2	0	0	0
ENSMUSG00000064842.3	0	0	0
ENSMUSG00000051951.6	938	9	929
ENSMUSG00000102851.2	20	20	0
ENSMUSG00000103377.2	14	0	14
ENSMUSG00000104017.2	2	1	1
ENSMUSG00000103025.2	2	0	2
ENSMUSG00000089699.2	0	0	0
ENSMUSG00000103201.2	5	0	5
ENSMUSG00000103147.2	4	4	0
ENSMUSG00000103161.2	4	0	4
ENSMUSG00000102331.2	1059	0	1059
ENSMUSG00000102348.2	30	0	30
ENSMUSG00000102592.2	0	0	0
ENSMUSG00000088333.4	0	0	0
ENSMUSG00000102343.2	0	0	0
ENSMUSG00000025900.14	6	0	6
ENSMUSG00000102948.2	0	0	0
ENSMUSG00000104123.2	0	0	0
ENSMUSG00000025902.14	42	1	42
ENSMUSG00000104238.2	0	0	1
ENSMUSG00000102269.2	2	0	2
ENSMUSG00000118917.1	0	0	0
ENSMUSG00000103003.2	0	0	0
ENSMUSG00000104328.2	1	0	1
ENSMUSG00000102735.2	0	0	0
ENSMUSG00000098104.2	3	0	3
ENSMUSG00000102175.2	0	0	0
ENSMUSG00000103265.2	0	0	0
ENSMUSG00000103922.2	5	3	2
ENSMUSG00000033845.14	2108	5	2103
ENSMUSG00000102275.2	65	0	65
ENSMUSG00000025903.15	742	4	738
ENSMUSG00000104217.2	0	0	0
ENSMUSG00000033813.16	2003	5	1998
ENSMUSG00000062588.5	3	0	3
ENSMUSG00000103280.2	73	5	68
ENSMUSG00000002459.18	365	12	353
ENSMUSG00000091305.2	1	0	1
ENSMUSG00000102653.2	3	0	3
ENSMUSG00000085623.2	12	10	2
ENSMUSG00000091665.2	2	0	2
ENSMUSG00000033793.13	9958	20	9938
ENSMUSG00000104352.2	0	0	0
ENSMUSG00000104046.2	0	0	0
ENSMUSG00000102907.2	0	0	0
ENSMUSG00000025905.15	1353	7	1346
ENSMUSG00000103936.2	0	0	0
ENSMUSG00000103519.2	0	0	0
ENSMUSG00000033774.5	92	3	89
ENSMUSG00000103090.2	0	0	0
ENSMUSG00000025907.15	4051	12	4135
ENSMUSG00000090031.3	40	95	41
ENSMUSG00000087247.4	1	0	1
ENSMUSG00000103355.2	0	0	0
ENSMUSG00000102706.2	0	0	0
ENSMUSG00000103845.2	66	0	66
