N_unmapped	624078	624078	624078
N_multimapping	4285856	4285856	4285856
N_noFeature	5279669	41346327	5591123
N_ambiguous	1682348	28082	578369
ENSMUSG00000102693.2	0	0	0
ENSMUSG00000064842.3	0	0	0
ENSMUSG00000051951.6	814	12	802
ENSMUSG00000102851.2	14	14	0
ENSMUSG00000103377.2	11	1	10
ENSMUSG00000104017.2	4	0	4
ENSMUSG00000103025.2	0	0	1
ENSMUSG00000089699.2	0	2	1
ENSMUSG00000103201.2	7	0	8
ENSMUSG00000103147.2	2	2	0
ENSMUSG00000103161.2	4	0	4
ENSMUSG00000102331.2	989	0	989
ENSMUSG00000102348.2	27	0	27
ENSMUSG00000102592.2	0	0	0
ENSMUSG00000088333.4	0	0	0
ENSMUSG00000102343.2	0	0	0
ENSMUSG00000025900.14	7	0	7
ENSMUSG00000102948.2	0	0	0
ENSMUSG00000104123.2	0	0	0
ENSMUSG00000025902.14	124	0	125
ENSMUSG00000104238.2	3	2	2
ENSMUSG00000102269.2	4	0	4
ENSMUSG00000118917.1	1	0	1
ENSMUSG00000103003.2	0	0	0
ENSMUSG00000104328.2	0	0	0
ENSMUSG00000102735.2	0	0	0
ENSMUSG00000098104.2	1	0	1
ENSMUSG00000102175.2	0	0	0
ENSMUSG00000103265.2	0	0	0
ENSMUSG00000103922.2	13	7	6
ENSMUSG00000033845.14	1780	1	1779
ENSMUSG00000102275.2	54	1	53
ENSMUSG00000025903.15	1213	4	1209
ENSMUSG00000104217.2	0	0	0
ENSMUSG00000033813.16	2031	4	2027
ENSMUSG00000062588.5	2	0	2
ENSMUSG00000103280.2	66	17	49
ENSMUSG00000002459.18	415	9	407
ENSMUSG00000091305.2	4	0	4
ENSMUSG00000102653.2	6	1	5
ENSMUSG00000085623.2	7	6	1
ENSMUSG00000091665.2	2	0	3
ENSMUSG00000033793.13	9601	14	9587
ENSMUSG00000104352.2	0	0	0
ENSMUSG00000104046.2	0	0	0
ENSMUSG00000102907.2	0	0	0
ENSMUSG00000025905.15	1173	4	1169
ENSMUSG00000103936.2	0	0	0
ENSMUSG00000103519.2	0	0	0
ENSMUSG00000033774.5	47	0	47
ENSMUSG00000103090.2	0	0	0
ENSMUSG00000025907.15	5088	15	5167
ENSMUSG00000090031.3	99	93	100
ENSMUSG00000087247.4	0	0	0
ENSMUSG00000103355.2	0	0	0
ENSMUSG00000102706.2	0	0	0
ENSMUSG00000103845.2	29	0	29
ENSMUSG00000033740.18	949	1	948
ENSMUSG00000103329.3	73	73	0
ENSMUSG00000104385.2	0	0	0
ENSMUSG00000102135.2	2	0	2
ENSMUSG00000103282.2	0	0	0
ENSMUSG00000102534.2	0	0	0
ENSMUSG00000102213.2	0	0	0
ENSMUSG00000103629.2	0	0	0
ENSMUSG00000051285.18	4735	37	4698
ENSMUSG00000098201.2	1	1	0
ENSMUSG00000103509.2	11	0	11
ENSMUSG00000048538.8	2	0	2
ENSMUSG00000103709.2	0	0	0
ENSMUSG00000077244.3	0	0	0
ENSMUSG00000102768.2	0	0	0
ENSMUSG00000097797.7	35	0	35
ENSMUSG00000103498.2	0	0	0
ENSMUSG00000103067.2	0	0	0
ENSMUSG00000102320.2	0	0	0
ENSMUSG00000104226.2	0	0	0
ENSMUSG00000103903.2	0	0	0
ENSMUSG00000103557.2	0	0	0
ENSMUSG00000025909.17	934	8	926
ENSMUSG00000102647.2	5	0	5
ENSMUSG00000086235.2	0	0	0
ENSMUSG00000102253.2	0	0	0
ENSMUSG00000103884.2	10	0	10
