experiment_id,date,animal,weight
high_uncertainty_fed,2022-04-18,324,17.48
high_uncertainty_fed,2022-04-18,325,24.6
high_uncertainty_fed,2022-04-18,326,24.76
high_uncertainty_fed,2022-04-18,327,22.7
high_uncertainty_fed,2022-04-22,320,23.3
high_uncertainty_fed,2022-04-22,321,21.58
high_uncertainty_fed,2022-04-22,322,24.1
high_uncertainty_fed,2022-04-22,323,21.91
high_uncertainty_fed,2022-04-22,324,18.22
high_uncertainty_fed,2022-04-22,325,24.13
high_uncertainty_fed,2022-04-22,326,23.72
high_uncertainty_fed,2022-04-22,327,23.34
high_uncertainty_fed,2022-04-25,320,23.75
high_uncertainty_fed,2022-04-25,321,22.69
high_uncertainty_fed,2022-04-25,322,24.8
high_uncertainty_fed,2022-04-25,323,22.42
high_uncertainty_fed,2022-04-25,324,18.4
high_uncertainty_fed,2022-04-25,325,24.23
high_uncertainty_fed,2022-04-25,326,25.47
high_uncertainty_fed,2022-04-25,327,23.51
high_uncertainty_fed,2022-04-27,320,23.61
high_uncertainty_fed,2022-04-27,321,21.3
high_uncertainty_fed,2022-04-27,322,25.03
high_uncertainty_fed,2022-04-27,323,22
high_uncertainty_fed,2022-04-27,324,18.2
high_uncertainty_fed,2022-04-27,325,24.25
high_uncertainty_fed,2022-04-27,326,24.05
high_uncertainty_fed,2022-04-27,327,23.7
high_uncertainty_fed,2022-04-29,320,23.91
high_uncertainty_fed,2022-04-29,321,23.12
high_uncertainty_fed,2022-04-29,322,24.75
high_uncertainty_fed,2022-04-29,323,22.93
high_uncertainty_fed,2022-04-29,324,18.35
high_uncertainty_fed,2022-04-29,325,24.13
high_uncertainty_fed,2022-04-29,326,25.3
high_uncertainty_fed,2022-04-29,327,23
high_uncertainty_fed,2022-05-02,320,22.61
high_uncertainty_fed,2022-05-02,321,23.53
high_uncertainty_fed,2022-05-02,322,25.4
high_uncertainty_fed,2022-05-02,323,21.4
high_uncertainty_fed,2022-05-02,324,18.76
high_uncertainty_fed,2022-05-02,325,23.03
high_uncertainty_fed,2022-05-02,326,23.22
high_uncertainty_fed,2022-05-02,327,25.02
high_uncertainty_fed,2022-05-04,320,24.3
high_uncertainty_fed,2022-05-04,321,23.76
high_uncertainty_fed,2022-05-04,322,25.59
high_uncertainty_fed,2022-05-04,323,22.15
high_uncertainty_fed,2022-05-04,324,18.76
high_uncertainty_fed,2022-05-04,325,24.17
high_uncertainty_fed,2022-05-04,326,26.1
high_uncertainty_fed,2022-05-04,327,23.57
high_uncertainty_fed,2022-05-06,320,24.62
high_uncertainty_fed,2022-05-06,321,23.03
high_uncertainty_fed,2022-05-06,322,25.97
high_uncertainty_fed,2022-05-06,323,22.91
high_uncertainty_fed,2022-05-06,324,19.22
high_uncertainty_fed,2022-05-06,325,24.12
high_uncertainty_fed,2022-05-06,326,26.61
high_uncertainty_fed,2022-05-06,327,24.36
high_uncertainty_fed,2022-05-09,320,24.27
high_uncertainty_fed,2022-05-09,321,23.93
high_uncertainty_fed,2022-05-09,322,26.1
high_uncertainty_fed,2022-05-09,323,23.7
high_uncertainty_fed,2022-05-09,324,19.2
high_uncertainty_fed,2022-05-09,325,24.51
high_uncertainty_fed,2022-05-09,326,26.15
high_uncertainty_fed,2022-05-09,327,24.27
