ID,date,weight,group,experimental_phase,rel_date
495,2023-05-10,26,Uncertainty,Experimental,57
496,2023-05-10,21.03,Uncertainty,Experimental,57
497,2023-05-10,21.12,Uncertainty,Experimental,57
498,2023-05-10,26.4,No-Uncertainty,Experimental,57
499,2023-05-10,25.49,No-Uncertainty,Experimental,57
500,2023-05-10,25.52,Uncertainty,Experimental,57
501,2023-05-10,30.16,No-Uncertainty,Experimental,57
494,2023-05-12,26.38,No-Uncertainty,Experimental,59
495,2023-05-12,27.08,Uncertainty,Experimental,59
496,2023-05-12,22.06,Uncertainty,Experimental,59
497,2023-05-12,22.84,Uncertainty,Experimental,59
498,2023-05-12,27.34,No-Uncertainty,Experimental,59
499,2023-05-12,25.71,No-Uncertainty,Experimental,59
500,2023-05-12,25.34,Uncertainty,Experimental,59
501,2023-05-12,30.62,No-Uncertainty,Experimental,59
494,2023-05-15,27.9,No-Uncertainty,Experimental,62
495,2023-05-15,26.47,Uncertainty,Experimental,62
496,2023-05-15,21.9,Uncertainty,Experimental,62
497,2023-05-15,22.97,Uncertainty,Experimental,62
498,2023-05-15,27.51,No-Uncertainty,Experimental,62
499,2023-05-15,26.39,No-Uncertainty,Experimental,62
500,2023-05-15,26.51,Uncertainty,Experimental,62
501,2023-05-15,28.19,No-Uncertainty,Experimental,62
494,2023-05-17,27.91,No-Uncertainty,Experimental,64
495,2023-05-17,27.01,Uncertainty,Experimental,64
496,2023-05-17,22.35,Uncertainty,Experimental,64
497,2023-05-17,22.48,Uncertainty,Experimental,64
498,2023-05-17,27.53,No-Uncertainty,Experimental,64
499,2023-05-17,25.89,No-Uncertainty,Experimental,64
500,2023-05-17,25.03,Uncertainty,Experimental,64
501,2023-05-17,28.4,No-Uncertainty,Experimental,64
494,2023-05-19,28.52,No-Uncertainty,Experimental,66
495,2023-05-19,26.92,Uncertainty,Experimental,66
496,2023-05-19,21.67,Uncertainty,Experimental,66
497,2023-05-19,22.57,Uncertainty,Experimental,66
498,2023-05-19,28.04,No-Uncertainty,Experimental,66
499,2023-05-19,26.13,No-Uncertainty,Experimental,66
500,2023-05-19,25.47,Uncertainty,Experimental,66
501,2023-05-19,29.13,No-Uncertainty,Experimental,66
494,2023-05-22,28.12,No-Uncertainty,Experimental,69
495,2023-05-22,26.2,Uncertainty,Experimental,69
496,2023-05-22,22.63,Uncertainty,Experimental,69
497,2023-05-22,21.58,Uncertainty,Experimental,69
498,2023-05-22,28.11,No-Uncertainty,Experimental,69
499,2023-05-22,26.4,No-Uncertainty,Experimental,69
500,2023-05-22,25.37,Uncertainty,Experimental,69
501,2023-05-22,28.69,No-Uncertainty,Experimental,69
494,2023-05-24,27.11,No-Uncertainty,Experimental,71
495,2023-05-24,26.3,Uncertainty,Experimental,71
496,2023-05-24,19.89,Uncertainty,Experimental,71
497,2023-05-24,22.8,Uncertainty,Experimental,71
498,2023-05-24,28.57,No-Uncertainty,Experimental,71
499,2023-05-24,25.03,No-Uncertainty,Experimental,71
500,2023-05-24,24.09,Uncertainty,Experimental,71
501,2023-05-24,29,No-Uncertainty,Experimental,71
496,2023-05-25,22.02,Uncertainty,Experimental,72
494,2023-05-26,26.94,No-Uncertainty,Experimental,73
495,2023-05-26,26.8,Uncertainty,Experimental,73
496,2023-05-26,22.19,Uncertainty,Experimental,73
497,2023-05-26,22.79,Uncertainty,Experimental,73
498,2023-05-26,28.22,No-Uncertainty,Experimental,73
499,2023-05-26,25.64,No-Uncertainty,Experimental,73
500,2023-05-26,25.39,Uncertainty,Experimental,73
501,2023-05-26,29.46,No-Uncertainty,Experimental,73
494,2023-05-29,28.49,No-Uncertainty,Experimental,76
495,2023-05-29,25.63,Uncertainty,Experimental,76
496,2023-05-29,17.6,Uncertainty,Experimental,76
497,2023-05-29,22.4,Uncertainty,Experimental,76
498,2023-05-29,30,No-Uncertainty,Experimental,76
499,2023-05-29,27.12,No-Uncertainty,Experimental,76
500,2023-05-29,24.96,Uncertainty,Experimental,76
501,2023-05-29,23.39,No-Uncertainty,Experimental,76
